交差点番号,管理者名,交差点名,地先名,緯度,経度
6240550769,函館市,,函館市大森町１,41.7648000772158 ,140.7284187759930 
6240550776,函館市,,函館市松風町６,41.7708410157853 ,140.7284684342930 
6240550793,函館市,,函館市万代町３２番１０,41.7886430491530 ,140.7290173899130 
6240550797,函館市,,函館市松風町６,41.7715409492281 ,140.7290433426620 
6240550798,函館市,,函館市万代町３０番１,41.7846518681811 ,140.7291301025810 
6240550799,函館市,,函館市万代町３２番７,41.7864891477867 ,140.7291799953810 
6240550815,函館市,,函館市海岸町５６番８,41.7831270624265 ,140.7294509917470 
6240550833,函館市,,函館市大森町２,41.7659083164448 ,140.7296894313250 
6240550884,函館市,,函館市松風町２０,41.7733532768511 ,140.7305306055150 
6240550890,函館市,,函館市松風町２０,41.7735081004065 ,140.7306468486790 
6240550908,函館市,,函館市桔梗町４１８,41.8340168040335 ,140.7312896439140 
6240550916,函館市,,函館市大森町３,41.7665666184924 ,140.7312309203400 
6240550932,函館市,,函館市若松町２５,41.7745656613000 ,140.7315179475580 
6240550944,函館市,,函館市大森町５,41.7670374249401 ,140.7321891398020 
6240550972,函館市,,函館市新川町５,41.7757197201131 ,140.7325261242790 
6240550992,函館市,,函館市新川町５,41.7762525203134 ,140.7329723238950 
6240551007,函館市,,函館市大森町７,41.7674874004409 ,140.7331431941410 
6240551012,函館市,,函館市亀田町４,41.7921760928316 ,140.7334001250340 
6240551027,函館市,,函館市新川町１８,41.7770070987633 ,140.7336176192650 
6240551050,函館市,,函館市亀田町４,41.7920719593516 ,140.7340584039910 
6240551054,函館市,,函館市亀田町３,41.7906512980438 ,140.7340709822370 
6240551063,函館市,,函館市大縄町１,41.7776445378005 ,140.7341300368180 
6240551065,函館市,,函館市大森町１２,41.7679415441917 ,140.7341639088190 
6240551076,函館市,,函館市八幡町６,41.7920094803330 ,140.7344875349070 
6240551079,函館市,,函館市大縄町１,41.7780320015576 ,140.7344674843280 
6240551081,渡島総合振興局 函館建設管理部,,函館市万代町,41.7891973216398 ,140.7345376874800 
6240551082,渡島総合振興局 函館建設管理部,新川町１,函館市松風町,41.7727784654355 ,140.7343386228120 
6240551088,函館市,,函館市新川町３４,41.7782278160615 ,140.7346216259660 
6240551106,函館市,,函館市昭和三丁目３１,41.8234265432619 ,140.7353107023010 
6240551107,函館市,,函館市宮前町２５５番,41.7895806280974 ,140.7351584426320 
6240551109,函館市,,函館市大森町１３,41.7683290247660 ,140.7350388072140 
6240551121,函館市,,函館市新川町３５,41.7788777548929 ,140.7351757056740 
6240551137,函館市,,函館市亀田本町４７,41.8034831259057 ,140.7355034672090 
6240551139,函館市,,函館市新川町３５,41.7794360356523 ,140.7356506310720 
6240551147,渡島総合振興局 函館建設管理部,,函館市新川町,41.7738033791844 ,140.7355384558980 
6240551165,函館市,,函館市宮前町２３８番,41.7904097193805 ,140.7359499905840 
6240551173,函館市,,函館市宮前町２４４番,41.7898008722818 ,140.7360622286800 
6240551178,函館市,,函館市昭和三丁目２８,41.8232390942346 ,140.7362147967480 
6240551181,函館市,,函館市亀田町１５６番,41.7996044516213 ,140.7362619480650 
6240551185,函館市,,函館市亀田本町４８,41.8034081601409 ,140.7363075645260 
6240551187,函館市,,函館市上新川町６,41.7801484690211 ,140.7362713678600 
6240551222,函館市,,函館市上新川町１３,41.7807769562044 ,140.7368052005770 
6240551231,函館市,,函館市亀田本町５２,41.8033331929417 ,140.7370658327020 
6240551236,函館市,,函館市上新川町１３,41.7811733719467 ,140.7371253991930 
6240551267,函館市,,函館市亀田本町５２,41.8032665572867 ,140.7377991026980 
6240551273,函館市,,函館市大縄町１５,41.7819066366544 ,140.7377627999540 
6240551284,函館市,,函館市上新川町２１,41.7820850227448 ,140.7379049062730 
6240551299,函館市,,函館市八幡町１４,41.7925636971652 ,140.7382288284810 
6240551306,函館市,,函館市八幡町１４,41.7930805270560 ,140.7382455468180 
6240551308,函館市,,函館市八幡町１７,41.7940183974749 ,140.7383206486700 
6240551310,函館市,,函館市八幡町２０,41.7945143234076 ,140.7383501529690 
6240551314,函館市,,函館市八幡町２１,41.7954461738535 ,140.7384279370310 
6240551315,函館市,,函館市昭和３丁目３０番,41.8227392204202 ,140.7383146326270 
6240551319,函館市,,函館市千歳町８番,41.7702955553360 ,140.7382800678080 
6240551322,函館市,,函館市大川町２,41.7969465102513 ,140.7385243897730 
6240551323,函館市,,函館市大川町９,41.7976297703236 ,140.7385754585270 
6240551328,函館市,,函館市千歳町４,41.7715537476516 ,140.7386299655720 
6240551331,函館市,,函館市大川町８,41.7991587475369 ,140.7386700860910 
6240551338,函館市,,函館市亀田本町３,41.8015188673147 ,140.7388114929200 
6240551346,函館市,,函館市亀田本町８,41.8031824089649 ,140.7389831542970 
6240551350,函館市,,函館市千歳町３番,41.7711836529261 ,140.7391548156740 
6240551356,函館市,,函館市松川町２３,41.7839850718694 ,140.7394981384280 
6240551370,函館市,,函館市亀田本町８,41.8030544457559 ,140.7394981384280 
6240551387,函館市,,函館市中島町６,41.7844970754767 ,140.7398414611820 
6240551401,函館市,,函館市千歳町２,41.7719518101212 ,140.7400131225590 
6240551407,函館市,,函館市千歳町８番,41.7713116797641 ,140.7400131225590 
6240551418,函館市,,函館市亀田本町７,41.8030544457559 ,140.7403564453120 
6240551427,函館市,,函館市中島町９,41.7850090749955 ,140.7405281066900 
6240551447,函館市,,函館市中島町７,41.7852650732217 ,140.7410430908200 
6240551452,函館市,,函館市亀田本町９,41.8031824089649 ,140.7410430908200 
6240551456,函館市,,函館市亀田本町１０,41.8040781442724 ,140.7412147521970 
6240551458,函館市,,函館市富岡町一丁目２１,41.8047179475396 ,140.7412147521970 
6240551463,函館市,,函館市富岡町一丁目２２,41.8053577444180 ,140.7413864135740 
6240551466,函館市,,函館市富岡町一丁目２２,41.8057416194783 ,140.7413864135740 
6240551468,函館市,,函館市富岡町一丁目４２,41.8058695773207 ,140.7413864135740 
6240551472,函館市,,函館市亀田本町２３,41.8065093626990 ,140.7415580749510 
6240551474,函館市,,函館市亀田本町２３,41.8068932308593 ,140.7415580749510 
6240551485,函館市,,函館市亀田本町２５,41.8074050514952 ,140.7417297363280 
6240551491,函館市,,函館市中島町３４,41.7857770666076 ,140.7417297363280 
6240551493,函館市,,函館市富岡町一丁目５０,41.8083007277691 ,140.7419013977050 
6240551496,函館市,,函館市富岡町一丁目５０,41.8088125371604 ,140.7419013977050 
6240551503,函館市,,函館市亀田本町２９,41.8093243424628 ,140.7420730590820 
6240551511,函館市,,函館市富岡町一丁目５５,41.8099640933407 ,140.7422447204590 
6240551525,函館市,,函館市中島町３６,41.7864170525903 ,140.7425880432130 
6240551556,渡島総合振興局 函館建設管理部,,函館市中島町,41.7893609058279 ,140.7434463500980 
6240551570,函館市,,函館市梁川町１,41.7870570321847 ,140.7436180114750 
6240551598,函館市,,函館市中島町,41.7816810050406 ,140.7443046569830 
6240551620,函館市,,函館市梁川町１,41.7876970053906 ,140.7446479797360 
6240551673,渡島総合振興局 函館建設管理部,,函館市千代台町,41.7816810050406 ,140.7455062866210 
6240551702,函館市,,函館市梁川町６,41.7885929571463 ,140.7460212707520 
6240551793,函館市,,函館市西桔梗町５８９番４４,41.8299211113158 ,140.7218170166020 
6240551800,渡島総合振興局 函館建設管理部,,北斗市中野通２丁目,41.8268512056859 ,140.6476593017580 
6240551818,渡島総合振興局 函館建設管理部,,北斗市一本木２,41.8288978257962 ,140.6615638732910 
6240551855,201236,,北斗市一本木３４９,41.8312001952129 ,140.6740951538090 
6240551880,201236,,北斗市久根別五丁目５,41.8288978257962 ,140.6814765930180 
6240551888,渡島総合振興局 函館建設管理部,,北斗市追分四丁目３,41.8267232897566 ,140.6857681274410 
6240551890,渡島総合振興局 函館建設管理部,,北斗市追分四丁目４,41.8273628668474 ,140.6861114501950 
6240551894,渡島総合振興局 函館建設管理部,,北斗市追分四丁目１０,41.8282582640402 ,140.6864547729490 
6240551903,201236,,北斗市追分３丁目３,41.8265953735717 ,140.6910896301270 
6240551910,201236,,北斗市七重浜七丁目７,41.8191757975593 ,140.7012176513670 
6240551915,渡島総合振興局 函館建設管理部,,北斗市七重浜１丁目,41.8138024644379 ,140.7053375244140 
6240551926,渡島総合振興局 函館建設管理部,,北斗市七重浜４丁目１,41.8144421705923 ,140.7159805297850 
6240551930,函館市,,函館市港町１丁目３４番,41.8006230962298 ,140.7199287414550 
6240551952,函館市,,函館市万代町,41.7865450490203 ,140.7279968261720 
6240551955,函館市,,函館市万代町２７番１,41.7846250757397 ,140.7295417785650 
6240552119,北海道開発局 函館開発建設部,函館駅前,函館市若松町１６－８,41.7727199581175 ,140.7281684875490 
