Rosen_Code,Rosen_Name
"01000400088000","本別留辺蘂線"
"01000400089000","札幌環状線"
"01000400090000","旭川環状線"
"01000400090001","旭川環状線（複線０１）"
"01000400091000","苫小牧東インター線"
"01000400092000","斜里停車場線"
"01000400093000","知床公園線"
"01000400094000","増毛稲田線"
"01000400094001","増毛稲田線（複線０１）"
"01000400095000","京極定山渓線"
"01000400096000","上磯峠下線"
"01000400097000","豊浦京極線"
"01000400098000","旭川多度志線"
"01000400099000","和寒鷹栖線"
"01000400100000","函館上磯線"
"01000400101000","下川愛別線"
"01000400102000","網走川湯線"
"01000400103000","留辺蘂浜佐呂間線"
"01000400104000","網走端野線"
"01000400105000","利尻富士利尻線"
"01000400106000","稚内天塩線"
"01000400107000","室蘭環状線"
"01000400108000","沓形仙法志鴛泊線"
"01000400109000","新帯広空港線"
"01000400110000","江別インター線"
"01000400111000","静内中札内線"
"01000400112000","札幌当別線"
"01000400112001","札幌当別線（複線０１）"
"01000400113000","釧路環状線"
"01000400113001","釧路環状線（複線０１）"
"01000400113002","釧路環状線"
"01000400114000","赤平奈井江線"
"01000400115000","芦別砂川線"
"01000400115001","芦別砂川線（複線０１）"
"01000400115002","芦別砂川線"
"01000400116000","岩見沢三笠線"
"01000400117000","恵庭岳公園線"
"01000400118000","美深中川線"
"01000400119000","遠別中川線"
"01000400120000","美深中頓別線"
"01000400121000","稚内幌延線"
"01000400122000","北見端野美幌線"
"01000400122001","北見端野美幌線（複線０１）"
"01000400122002","北見端野美幌線"
"01000400123000","別海厚岸線"
"01000400124000","宮の沢北一条線"
"01000400125000","前田新川線"
"01000400125001","前田新川線（複線０１）"
"01000400126000","小平幌加内線"
"01000400126001","小平幌加内線（複線０１）"
"01000400127000","室蘭インター線"
"01000400128000","札幌北広島環状線"
"01000400128001","札幌北広島環状線（複線０１）"
"01000400128002","札幌北広島環状線（複線０２）"
"01000400129000","静川美沢線"
"01000400129001","静川美沢線（複線０１）"
"01000400130000","新千歳空港線"
"01000400131000","平取穂別線"
"01000400132000","洞爺公園洞爺線"
"01000400132001","洞爺公園洞爺線"
"01000400133000","音更新得線"
"01000400134000","本別士幌線"
"01000400135000","美唄富良野線"
"01000400135001","美唄富良野線（複線０１）"
"01000400136000","夕張新得線"
"01000400136001","夕張新得線（複線０１）"
"01000400136002","夕張新得線"
"01000400137000","遠軽雄武線"
"01000400137001","主要地方道１３７号複線１"
"01000400137002","主要地方道１３７号複線２"
"01000400137003","遠軽雄武線"
"01000400137004","遠軽雄武線"
"01000400138000","豊富猿払線"
"01000400139000","江別奈井江線"
"01000400140000","愛別当麻旭川線"
"01000400140001","愛別当麻旭川線（複線０１）"
"01000400140002","愛別当麻旭川線"
"01000400140003","愛別当麻旭川線"
"01000400140004","愛別当麻旭川線"
"01000400141000","樽前錦岡線"
"01000400142000","根室浜中釧路線"
"01000400143000","北見白糠線"
"01000400144000","登別室蘭インター線"
"01000400145000","伊達インター線"
"01000400146000","旭川鷹栖インター線"
"01000400147000","銭函インター線"
"01000400148000","釧路西インター線"
"01000400149000","大沼公園インター線"
"01000400150000","摩周湖中標津線"
"01000400151000","幕別帯広芽室線"
"01000400581000","主要地方道５８１号本線"
"01000401115000","芦別砂川線"
"01000401125000","主要地方道１１２５号本線"
