交差点番号,管理者名,交差点名,地先名,緯度,経度,整理番号,備考
6240551106,函館市,,函館市昭和三丁目３１,41.82342654,140.7353107,,
6240551107,函館市,,函館市宮前町２５５番,41.78958063,140.7351584,,
6240551109,函館市,,函館市大森町１３,41.76832902,140.7350388,,
6240551121,函館市,,函館市新川町３５,41.77887775,140.7351757,,
6240551137,函館市,,函館市亀田本町４７,41.80348313,140.7355035,,
6240551139,函館市,,函館市新川町３５,41.77943604,140.7356506,,
6240551147,渡島総合振興局 函館建設管理部,,函館市新川町,41.77380338,140.7355385,,
6240551165,函館市,,函館市宮前町２３８番,41.79040972,140.73595,,
6240551173,函館市,,函館市宮前町２４４番,41.78980087,140.7360622,,
6240551178,函館市,,函館市昭和三丁目２８,41.82323909,140.7362148,,
6240551181,函館市,,函館市亀田町１５６番,41.79960445,140.7362619,,
6240551185,函館市,,函館市亀田本町４８,41.80340816,140.7363076,,
6240551187,函館市,,函館市上新川町６,41.78014847,140.7362714,,
6240551222,函館市,,函館市上新川町１３,41.78077696,140.7368052,,
6240551231,函館市,,函館市亀田本町５２,41.80333319,140.7370658,,
6240551236,函館市,,函館市上新川町１３,41.78117337,140.7371254,,
6240551267,函館市,,函館市亀田本町５２,41.80326656,140.7377991,,
6240551273,函館市,,函館市大縄町１５,41.78190664,140.7377628,,
6240551284,函館市,,函館市上新川町２１,41.78208502,140.7379049,,
6240551299,函館市,,函館市八幡町１４,41.7925637,140.7382288,,
6240551306,函館市,,函館市八幡町１４,41.79308053,140.7382455,,
6240551308,函館市,,函館市八幡町１７,41.7940184,140.7383206,,
6240551310,函館市,,函館市八幡町２０,41.79451432,140.7383502,,
6240551314,函館市,,函館市八幡町２１,41.79544617,140.7384279,,
6240551315,函館市,,函館市昭和３丁目３０番,41.82273922,140.7383146,,
6240551319,函館市,,函館市千歳町８番,41.77029556,140.7382801,,
6240551322,函館市,,函館市大川町２,41.79694651,140.7385244,,
6240551323,函館市,,函館市大川町９,41.79762977,140.7385755,,
6240551328,函館市,,函館市千歳町４,41.77155375,140.73863,,
